Designator,Mid X,Mid Y,Rotation,Layer
C1,114.4,-120,90,top
C2,121.4,-119.8,180,top
C3,131.2,-109.3,-90,top
C4,121,-118.4,180,top
C5,112.7,-109.4,45,top
C6,128.4,-108.2,-90,top
C7,130.010408,-110.732233,-90,top
C8,125,-119,-90,top
C9,126.2,-119,-90,top
C10,127.4,-119,-90,top
C11,130.4,-113.6,0,top
C12,130.4,-116,0,top
C13,130.4,-114.8,0,top
D1,144,-132,180,top
F1,110.5,-111,-45,top
FB1,129.9,-108.5,-90,top
J1,107.5,-107.5,-90,top
J2,123.275,-122.85,-90,top
J3,109.275,-122.85,-90,top
J4,116.275,-122.85,-90,top
J5,113.15,-117.275,-175,top
J6,132.525,-122.85,-90,top
J7,136.8,-103.075,0,top
J8,136.8,-113.145591,0,top
Q1,138,-132.75,0,top
R1,115.5,-104.1,90,top
R2,139.25,-129.5,0,top
R3,139.25,-130.5,180,top
R4,148.25,-132.75,-90,top
R5,123.8,-119,90,top
R6,126.6,-120.6,0,top
R7,128.6,-119.6,90,top
R8,132,-113.2,-90,top
R9,131,-117.2,180,top
R10,132,-115.2,-90,top
R11,124.6,-120.6,0,top
R12,130.4,-119.6,0,top
R13,129,-118,0,top
R14,133.2,-113.2,90,top
R15,132.8,-117.2,90,top
R16,133.2,-115.2,-90,top
R17,131.4,-120.7,0,top
R18,132.4,-119.6,0,top
R19,131,-118.4,0,top
R20,134.4,-113.2,-90,top
R21,134,-117.2,-90,top
R22,134.4,-115.2,90,top
R23,117,-115.1,180,top
SW1,119,-103.5,180,top
U1,117.6,-118.4,90,top
U2,112.6,-105.4,-90,top
U3,124,-112.5,90,top
